ID,Restaurant Name,Image Source,Discount,Restaurant Link
45,Tamper Coffee,https://images.deliveryhero.io/image/stores-glovo/stores/080065306050bbbbcc9bb519e89458e3c25cca5ff93102adadedbb7be4c49b28?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/tamper-coffee-clj/
46,Pizza Reggina,https://images.deliveryhero.io/image/stores-glovo/stores/a75fbdf9dac3e7013296ba2abbf1cd4ebd61261f3cc1214dcdc7ad7932ffb88a?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/pizza-reggina/
47,Casa Dacilor,https://images.deliveryhero.io/image/stores-glovo/stores/e35aceb200e741c738611f123347b37d201671de82b1f2dd92f64e61d61cc21e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/casa-dacilor-clj-c/
48,New Croco,https://images.deliveryhero.io/image/stores-glovo/stores/88033fcd69d3e6546abd33f61fe22a683c63035ea401dfb82621a9b99a26a4f1?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/new-croco-clj/
49,Shanghai Express,https://images.deliveryhero.io/image/stores-glovo/stores/dc482bb7d08b6212ec58e616e22a31946782daff6a70aac1771296bf035ab6df?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/shanghai-express-clj/
50,Bărbăr Store,https://images.deliveryhero.io/image/stores-glovo/stores/dd159e1ba09cabc8c03930e76054347d32c91c038d02cd31a94abeb29cf6f29e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/barbar-store/
51,Pizza Hut Delivery,https://images.deliveryhero.io/image/stores-glovo/stores/33a43094f1835277ef6d238a2029782351a352d5c41363e5c8b153eb3ad1cea2?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/pizza-hut-delivery-cluj/
52,Meat Up,https://images.deliveryhero.io/image/stores-glovo/stores/611ab49da92f194f6cffc37d36ddff6fe3832624c4095403c30d421a0fd0b401?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/meat-up-clj/
53,Taste of Asia Chef Cuisine,https://images.deliveryhero.io/image/stores-glovo/stores/89d7ce501c2cdf38ba1eab17c55c3ab2f8abd5a9b9eb4763bc16d8b8b806e0b3?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/taste-of-asia-chef-cuisine-clj/
54,Engels District,https://images.deliveryhero.io/image/stores-glovo/stores/0a98808481887d3b753a9331e1f565fa912c2160d5617cb1b9c704376c11b4c6?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/engels-district-clj/
